session_id,event_time,event_type,product_id,platform,device_type,ip_range,city,country,user_agent,hashed_email
A_sess_01387_458aaac6,2024-03-08T05:24:42Z,view,prod_0202,A,desktop,198.18.213.0/24,New York,US,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,5e99a4da62f1f12d2e9d66eba79966c163de8f2eb84ecc6f732e645129284042
A_sess_00191_bf99f0d8,2024-03-07T18:12:09Z,view,prod_0201,A,desktop,10.36.95.0/16,Bangalore,IN,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,f7ec3fba7e3a2f66ec42ade36f814b945f1ad6623dfe983afebe0100275e2303
A_sess_00063_0a6ac09d,2024-03-06T22:07:48Z,view,prod_0459,A,mobile,10.151.31.0/24,Munich,DE,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,70d5bee4235984d3a0a9734cb1fc37a559c42dbc73343dbc66e16ac44bc18bef
A_sess_01665_207d493d,2024-03-01T15:52:17Z,view,prod_0254,A,desktop,10.0.83.0/24,Sao Paulo,BR,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,e07ab99f9aca9fcf3f4220e60f3da534f3e320418aded2bce44274f993090fce
A_sess_01599_71a8587d,2024-03-08T06:24:11Z,cart,prod_0251,A,desktop,198.18.116.0/24,Bangalore,IN,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,fea5961ec1b603d2d1b37d386f1d00491fc8d22c14007781e620773704db17d6
A_sess_00810_ba7b570c,2024-03-05T05:06:09Z,view,prod_0283,A,desktop,172.16.3.0/24,Mumbai,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,92815040242b8f83d28b01d01fce4611afebeff8aed0aca9a6bf6e28092b4c1c
A_sess_01639_53956bdb,2024-03-06T11:03:51Z,view,prod_0500,A,tablet,198.18.228.0/24,Los Angeles,US,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,2ab19f5eea180427b7dc22266463a2a100e001a1904363c083d831784e21525a
A_sess_00981_7cd08e91,2024-03-05T15:00:40Z,view,prod_0076,A,mobile,192.168.22.0/24,Mumbai,IN,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,e6134be09a3ddabe4b0e838b421ae0936c3d5d88b05bd06f28b6d4314a1e75e7
A_sess_00753_3af168ec,2024-03-07T14:09:53Z,view,prod_0435,A,mobile,10.122.120.0/16,Mumbai,IN,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,
A_sess_00932_63b3b13c,2024-03-06T02:30:53Z,purchase,prod_0112,A,tablet,10.0.160.0/24,Sydney,AU,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,2fa5e8fb06c3e6461bc5b5045ea2ff99abebc95b8183fb19fa993f124d6bcd3a
A_sess_00255_7b4844d5,2024-03-03T07:30:00Z,cart,prod_0419,A,mobile,10.183.127.0/24,Mexico City,MX,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,fb748c99e6cda79ab7c07a9eb0e45207998a25b50b6a0143e99bb4f529828fa6
A_sess_01374_762e4b72,2024-03-08T04:20:20Z,cart,prod_0403,A,tablet,192.168.160.0/24,Tokyo,JP,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,5c5de63cab949d4d26f26f24b1163eae3e87baa59b3e316229790a842348aebf
A_sess_00914_c370f254,2024-03-04T08:19:24Z,view,prod_0489,A,mobile,100.64.193.0/24,Sydney,AU,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,8f3f7edf147ea1a42775bb358468aa45aa3bea6d8efc082e9e69b50cec5dcd2c
A_sess_00963_be12e4cd,2024-03-01T10:29:08Z,view,prod_0153,A,tablet,10.0.123.0/24,Houston,US,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,884500f4c230766320d34fefef88ffeeb42ed7cc6708113084358507a2102cdc
A_sess_00301_f8381d6f,2024-03-03T15:01:40Z,purchase,prod_0309,A,mobile,10.178.150.0/16,Seoul,KR,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,750e05572c776e7d8b971a720cf35c22b5df15515f87358f8ec17f7cb2100ded
A_sess_01524_979c495d,2024-03-01T19:23:55Z,view,prod_0314,A,tablet,172.16.200.0/24,Munich,DE,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,d418f09ff20bc57af01fc93d84292be65953663df16747d4fac183c53a9be3ed
A_sess_01414_911c09c4,2024-03-07T12:25:20Z,purchase,prod_0272,A,tablet,198.18.188.0/24,Mumbai,IN,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,f715c8ace837777460ab0f1a440d56fea5412bacf2a252c52407b0a884b6e1ad
A_sess_01514_1e9cca93,2024-03-04T13:59:42Z,view,prod_0147,A,tablet,198.18.64.0/24,Toronto,CA,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,7768272b292b5bedbcb6509621412d70950264ed0859067ce8ccd720e5555515
A_sess_01159_7d58d18a,2024-03-05T17:40:12Z,view,prod_0198,A,desktop,192.168.197.0/24,Toronto,CA,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,afde77ea2e272cf295f7d5043ebeb41e4b1eb364f5bf351860deb72a54e55eb3
A_sess_01422_4574a38f,2024-03-05T17:08:00Z,cart,prod_0400,A,mobile,198.18.35.0/24,Seoul,KR,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,bb8ce63f24e5a0fef6e125ad3c77d868855cb3269b91572298acdbb8fe8e4c34
A_sess_01482_50393b43,2024-03-06T16:42:47Z,view,prod_0341,A,desktop,100.64.109.0/24,London,GB,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,f4a1aeb1603af150e690d0416acecce7c95057648344ae352b2fd57abb57466d
A_sess_01110_1e6f520a,2024-03-08T00:20:29Z,cart,prod_0253,A,tablet,198.18.145.0/24,Sydney,AU,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,4eaa670e04e043ccc10d701a9902709c429db03eae038fc79886f6d0ad00a182
A_sess_01336_3a9b3629,2024-03-02T12:53:48Z,view,prod_0117,A,desktop,10.0.115.0/24,Sydney,AU,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,717df308c9d167a671578aab0b5a3c7eeecea34a8fcc00a553847872fbc9d6c8
A_sess_00315_f1653ec4,2024-03-02T08:46:46Z,cart,prod_0086,A,tablet,10.197.157.0/16,Chicago,US,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,67b8087dd5fceb6e149401d652cc54ec099d104784373471f571f21c84ef983a
A_sess_01652_b7ff49fd,2024-03-02T01:37:30Z,view,prod_0039,A,mobile,172.16.202.0/24,Berlin,DE,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,eba5aea54acf95de67ca9fee21f6eba3c7643961f33174b6336d76ca6504048a
A_sess_01546_a4ee5b6e,2024-03-02T14:15:03Z,view,prod_0427,A,mobile,198.18.223.0/24,Houston,US,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,7e40cc4f8631bd8b083de6f46698295711ede127d393e1c4854b89c6535746a5
A_sess_01255_fa0f0adc,2024-03-07T22:18:30Z,view,prod_0062,A,desktop,100.64.87.0/24,Sydney,AU,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,d46207fb4ffb5724e88f93801e5b7da8cf74c41568d7ca2babeed55bad87f369
A_sess_01454_156e3754,2024-03-08T06:15:15Z,purchase,prod_0417,A,desktop,100.64.223.0/24,New York,US,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,b06e14eea48a33aaa612f23c431859a61c54759aabd50c201c1c255da6427493
A_sess_00810_ba7b570c,2024-03-05T05:55:09Z,cart,prod_0154,A,desktop,172.16.3.0/24,Mumbai,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,92815040242b8f83d28b01d01fce4611afebeff8aed0aca9a6bf6e28092b4c1c
A_sess_01024_1e28f9b0,2024-03-05T00:15:45Z,view,prod_0403,A,tablet,172.16.3.0/24,Mumbai,IN,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,049836111a3800fa6086c83f390baa88fef1408bd3ba56e7aa460e3ed9a56335
A_sess_01613_14ed5057,2024-03-02T07:21:39Z,view,prod_0112,A,desktop,172.16.219.0/24,Bangalore,IN,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,4126306e0fbe319fa753f355ef54f2c70a9d02918e67e25f94c1786618575b87
A_sess_01313_a406f2cb,2024-03-05T09:03:38Z,view,prod_0205,A,desktop,192.168.85.0/24,London,GB,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,f613c483a830a676b21f200a180f88d582466bf87f43ac36f7f5e34debb62329
A_sess_00689_c86b4fb0,2024-03-07T08:04:20Z,cart,prod_0368,A,tablet,10.70.88.0/24,Seoul,KR,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,
A_sess_00836_ccc2365a,2024-03-01T10:32:23Z,view,prod_0253,A,mobile,100.64.191.0/24,Amsterdam,NL,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,ccc32915f69777f6e2b866d79c946e7466f7aabb430a281e802092ab301143af
A_sess_00669_1573c12f,2024-03-06T23:44:43Z,cart,prod_0413,A,desktop,10.189.78.0/24,Paris,FR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,
A_sess_01047_2cb5f5ee,2024-03-07T09:50:21Z,purchase,prod_0346,A,desktop,198.18.90.0/24,Berlin,DE,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,97d9b7d113d9014cd8ac8127630d66088a5cc9e487fd115f633305c6a584ef7c
A_sess_00844_8e2ec3ee,2024-03-03T23:17:45Z,view,prod_0141,A,tablet,10.0.244.0/24,Manchester,GB,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,25f555edd65f9b8bc669ab48abc41b8fef47ad753e03aac75b4ad90d7e906979
A_sess_01657_842f60d2,2024-03-06T07:40:49Z,view,prod_0472,A,desktop,10.0.57.0/24,Mexico City,MX,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,456207f97dcd07eac9a973bcab0da734c8c7095abd8df743d523758481858781
A_sess_00815_5580c1ad,2024-03-07T20:56:19Z,cart,prod_0121,A,tablet,192.168.129.0/24,Osaka,JP,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,a56245c810d9d7b8a3e38068e8c935dba32cb86f85d9732ba539987e36a10d19
A_sess_01711_7491f2b2,2024-03-05T20:57:18Z,cart,prod_0461,A,desktop,10.0.174.0/24,Singapore,SG,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,0e3d5fdf82c97d068bbce156ddfdeca9b95b5071d1bc5c74c7b6dc3a5bfcf0f6
A_sess_01554_bdcfd595,2024-03-02T15:54:40Z,view,prod_0173,A,tablet,172.16.148.0/24,Amsterdam,NL,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,36fee1bbef0b391a2e5948f47292d55eda74c39c939b487941a493c43a73f00c
A_sess_00333_b8c1b8d3,2024-03-05T05:57:32Z,view,prod_0029,A,tablet,10.231.166.0/16,Tokyo,JP,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,590748676ab1ea4dcbdf3c1b54682677b8e128b0cfe379d18fb12653fe68681c
A_sess_01716_101fb876,2024-03-03T06:08:22Z,view,prod_0214,A,tablet,198.18.229.0/24,Berlin,DE,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,5e12285c60a41c9be293341204bacb0486d03081333ccdb1b695657a77dd5fca
A_sess_01217_e9f5498e,2024-03-05T00:19:08Z,view,prod_0391,A,tablet,100.64.116.0/24,Munich,DE,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,c9ee7a095f87fe2fbde2d8f3fe8ba7b8cab5af8a8f75ae9af14cefa1d69d53d2
A_sess_01079_dbcab542,2024-03-04T14:49:21Z,view,prod_0118,A,desktop,172.16.125.0/24,Chicago,US,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,100d9458ca589ccc6503cb96f54ba6c4561ab9aa5a8255388e8e3713565ac16b
A_sess_01149_ed50b58d,2024-03-04T08:34:04Z,view,prod_0436,A,desktop,192.168.161.0/24,Seoul,KR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,432c00357a8e99f60c4eda99d1949e0b1b44c761ad3ca0d2ca83a31a510dc2ea
