session_id,event_time,event_type,product_id,platform,device_type,ip_range,city,country,user_agent,hashed_email
B_sess_01850_83f8bd40,2024-03-02T19:38:11Z,cart,prod_0430,B,mobile,10.0.217.0/24,Munich,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,998eaf536fce77b660067904fe3e4b263437f41f97d5900ba3742d3815444c20
B_sess_01914_6d3c1cb1,2024-03-04T12:03:45Z,purchase,prod_0256,B,desktop,172.16.161.0/24,Osaka,JP,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,d5610479a73a1a680877033b6e709574375ffad7736bb402202300fd3eed9017
B_sess_00612_83ef99b5,2024-03-07T12:20:23Z,cart,prod_0448,B,tablet,10.168.49.0/24,Osaka,JP,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,
B_sess_01811_5a3feec7,2024-03-04T07:51:47Z,view,prod_0417,B,tablet,100.64.158.0/24,Sydney,AU,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,ae58c37c4c4d79ddef5dd6d77c33bfbfe5ff945c562301b27877da31459a3325
B_sess_01875_1ab9b99a,2024-03-08T07:01:53Z,cart,prod_0374,B,desktop,192.168.49.0/24,Amsterdam,NL,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,1a0bad7a794dd426cfdacdb2b6c499742b59769a7c454f9b55c1669f7c5212bc
B_sess_02365_7c411f08,2024-03-06T08:31:56Z,cart,prod_0260,B,mobile,198.18.39.0/24,Osaka,JP,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,d00969bfe559f6400cb24d32763bb3708f75c12c487ab957790f209d40a28a63
B_sess_02156_96cec78b,2024-03-05T07:35:23Z,purchase,prod_0267,B,desktop,100.64.244.0/24,Munich,DE,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,e69dfdf0a8d4f9b8a2e330604693e1816df496aafe5b0357c84d1a5919e38cc6
B_sess_00422_df4f7ba1,2024-03-08T00:45:28Z,purchase,prod_0466,B,tablet,10.95.210.0/16,Paris,FR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,
B_sess_00406_45ad41fe,2024-03-01T21:52:07Z,purchase,prod_0085,B,desktop,10.14.202.0/24,Tokyo,JP,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,
B_sess_00328_60e568d2,2024-03-03T03:41:50Z,view,prod_0255,B,tablet,10.30.163.0/24,Chicago,US,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,e73c1b6bbd1e3b90938f2a74ca55711b48cb92d85b1e3079458fe90ba9835443
B_sess_02068_4de793b0,2024-03-04T09:49:05Z,view,prod_0233,B,tablet,172.16.126.0/24,Houston,US,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,d57edc058e7e79b7376fa1a4ce422e4a817f3c8cf7b6d96cc1ec461d759852d3
B_sess_01796_08769bce,2024-03-04T10:08:35Z,cart,prod_0455,B,tablet,192.168.155.0/24,Munich,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,d45a241d2620824d799bcbc1435c921d3746db8ec6808fc0a29208200b8b7b94
B_sess_01767_6e7abe74,2024-03-03T04:32:07Z,cart,prod_0473,B,mobile,100.64.120.0/24,Munich,DE,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,d95dc2e6d996b90639365d1b076cad383543299b0ce27767050009cf9ea83cd1
B_sess_00712_a18ff644,2024-03-04T14:53:43Z,view,prod_0416,B,mobile,10.1.99.0/16,Paris,FR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,
B_sess_00742_28610921,2024-03-06T13:43:30Z,view,prod_0427,B,desktop,10.131.114.0/24,Houston,US,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,
B_sess_00542_90fe71d2,2024-03-03T19:34:19Z,cart,prod_0313,B,desktop,10.115.14.0/16,Sao Paulo,BR,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,
B_sess_00020_48b815ee,2024-03-01T18:16:04Z,view,prod_0101,B,desktop,10.174.9.0/24,Sydney,AU,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,9cf8236df5681ed10f41aece9c1caaf0703d5911721726defdc9d9a8f4d89759
B_sess_01893_9353a722,2024-03-05T00:19:34Z,view,prod_0209,B,tablet,10.0.87.0/24,Amsterdam,NL,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,ba5a7b62128143ceb05a54889a4051b5c33d7c454694427635d7ee3a29132322
B_sess_00252_6e890072,2024-03-06T17:47:07Z,view,prod_0259,B,tablet,10.48.125.0/16,Seoul,KR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,92f314ba12df0a3dd9bf772a78d7da839cd8f133f654fcdfd623bd7423fecbae
B_sess_00566_288666fb,2024-03-05T22:22:05Z,view,prod_0227,B,mobile,10.198.26.0/24,Sydney,AU,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,
B_sess_00194_d36acbdc,2024-03-02T13:49:30Z,purchase,prod_0329,B,mobile,10.92.96.0/16,Seoul,KR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,948f137e0e722e0c3f164f7ea3968956d79714dca04d7aff37875ed830d73ec2
B_sess_00646_df59f429,2024-03-04T09:16:43Z,view,prod_0102,B,tablet,10.194.66.0/24,Mexico City,MX,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,
B_sess_00470_5aee8ded,2024-03-01T23:26:44Z,view,prod_0377,B,tablet,10.54.234.0/16,Mumbai,IN,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,
B_sess_02151_3661473c,2024-03-02T15:19:14Z,view,prod_0460,B,mobile,172.16.112.0/24,Manchester,GB,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,15291252d42924e4f9d6621d45bc075108d87fa9d896c5ae2f83dc7e14676b27
B_sess_02255_7ea18cef,2024-03-05T17:43:45Z,view,prod_0389,B,mobile,172.16.81.0/24,Singapore,SG,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,8b1547d4a2208c110b1371cb1a2a09633267158ee3eb89cadc5b4048aa06f745
B_sess_01960_82b654f9,2024-03-08T08:16:46Z,view,prod_0031,B,desktop,10.0.18.0/24,Osaka,JP,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,1e7c90f3c1e9548ece4d8071d7748d417aff5a704c97bfb88e1219cb2814ffcd
B_sess_01908_b1458b70,2024-03-06T22:37:11Z,purchase,prod_0096,B,desktop,100.64.185.0/24,Los Angeles,US,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,d2507bff106555e687768d6632e8cdc3a755e7a7f1f6561bd9d7463be75a4ca2
B_sess_00464_b5018246,2024-03-01T16:11:02Z,view,prod_0253,B,desktop,10.234.231.0/16,London,GB,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,
B_sess_02274_b4a53f31,2024-03-03T10:03:30Z,view,prod_0054,B,desktop,100.64.57.0/24,Paris,FR,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,0dca592cf4571d649306ef6ed4077107a706ce7c35b5fa18eb231e585b366412
B_sess_02144_95b2eafb,2024-03-01T19:51:40Z,cart,prod_0382,B,tablet,10.0.153.0/24,Seoul,KR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,6761b2186862d3bf86e2ae87f4674bab74e234d7ca3b92e86a4c898388287697
B_sess_01843_f00b6724,2024-03-08T02:18:24Z,view,prod_0114,B,tablet,192.168.39.0/24,Manchester,GB,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,27c3148d36aa2c4a5e2d13bb07c5a08d40447c7d83c37e8ea6ea72654ab40abb
B_sess_02168_017c05db,2024-03-02T23:14:45Z,view,prod_0483,B,desktop,172.16.206.0/24,Osaka,JP,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,b1f0e3374589cbc9a72286d773ea1a98f9100669558aca82251eaa7eef10c750
