session_id,event_time,event_type,product_id,platform,device_type,ip_range,city,country,user_agent,hashed_email
A_sess_01387_e8df9135,2024-03-08T05:24:42Z,view,prod_0202,A,desktop,198.18.213.0/24,New York,US,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,7dd09f957c4cd307b4a55787d3826b6f3e9f82f3d4d54608b8304e8f3ef422dd
A_sess_00191_b06dfbeb,2024-03-07T18:12:09Z,view,prod_0201,A,desktop,10.36.95.0/16,Bangalore,IN,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,f7ec3fba7e3a2f66ec42ade36f814b945f1ad6623dfe983afebe0100275e2303
A_sess_00063_4a2585ad,2024-03-06T22:07:48Z,view,prod_0459,A,mobile,10.151.31.0/24,Munich,DE,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,70d5bee4235984d3a0a9734cb1fc37a559c42dbc73343dbc66e16ac44bc18bef
A_sess_01665_b824c536,2024-03-01T15:52:17Z,view,prod_0254,A,desktop,10.0.83.0/24,Sao Paulo,BR,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,e6d38c8a8320e2161f94f312c6a02b051c6d0922eb6ac1774c84a3b48425989b
A_sess_01599_bba1ccac,2024-03-08T06:24:11Z,cart,prod_0251,A,desktop,198.18.116.0/24,Bangalore,IN,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,f730452074b2ec119feaca2a33f3417afd32dc33f55d741b5d563517caa22d96
A_sess_00810_a7665388,2024-03-05T05:06:09Z,view,prod_0283,A,desktop,172.16.3.0/24,Mumbai,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,7fb933c7ec170dc21f862f30fd8639ead0b7fe0919e401d8fb2c62c00b253c6d
A_sess_01639_48bb7246,2024-03-06T11:03:51Z,view,prod_0500,A,tablet,198.18.228.0/24,Los Angeles,US,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,9dd8f93b4bc4e6c26fd4e4a9fe0a2b4e8eefb4b72783a28fb0647dfcd8379f84
A_sess_00981_130ab34e,2024-03-05T15:00:40Z,view,prod_0076,A,mobile,192.168.22.0/24,Mumbai,IN,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,63fc0299bc55bd1f7310f7d31c33823226292708260859a01eba2ca4ea6eb10c
A_sess_00753_edea209f,2024-03-07T14:09:53Z,view,prod_0435,A,mobile,10.122.120.0/16,Mumbai,IN,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,
A_sess_00932_ba43f1dd,2024-03-06T02:30:53Z,purchase,prod_0112,A,tablet,10.0.160.0/24,Sydney,AU,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,4af9105234d5ddd7ea90605296a008fc132daebb6cd4ddc0e32c56ebe0366574
A_sess_00255_1dfa60d3,2024-03-03T07:30:00Z,cart,prod_0419,A,mobile,10.183.127.0/24,Mexico City,MX,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,fb748c99e6cda79ab7c07a9eb0e45207998a25b50b6a0143e99bb4f529828fa6
A_sess_01374_1705b4b4,2024-03-08T04:20:20Z,cart,prod_0403,A,tablet,192.168.160.0/24,Tokyo,JP,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,be93918c0d91b2d5bc1e39c9ec7975099ed11bcbd00e76b25d11c00615003062
A_sess_00914_551b79f6,2024-03-04T08:19:24Z,view,prod_0489,A,mobile,100.64.193.0/24,Sydney,AU,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,84f7c909da7d39c3a8c60c5b84d865a35b674c1992323177f51d65245846e1f1
A_sess_00963_13e57f8c,2024-03-01T10:29:08Z,view,prod_0153,A,tablet,10.0.123.0/24,Houston,US,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,c473794f7bec0161234d86cbee2c1f6fd65ec4c22dfe75f29da8ce3faf49d0fd
A_sess_00301_1ccf1746,2024-03-03T15:01:40Z,purchase,prod_0309,A,mobile,10.178.150.0/16,Seoul,KR,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,750e05572c776e7d8b971a720cf35c22b5df15515f87358f8ec17f7cb2100ded
A_sess_01524_d1b5aab7,2024-03-01T19:23:55Z,view,prod_0314,A,tablet,172.16.200.0/24,Munich,DE,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,efe85e91506bc5f33c4435ea1eb4c69aa260dc42655f4eacca4effda5a7e9e54
A_sess_01414_061d9027,2024-03-07T12:25:20Z,purchase,prod_0272,A,tablet,198.18.188.0/24,Mumbai,IN,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,26db47273a464356f04908c224a3a99226c0ecd89c33e7661b0d1589a15af086
A_sess_01514_c7fd89f0,2024-03-04T13:59:42Z,view,prod_0147,A,tablet,198.18.64.0/24,Toronto,CA,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,bb0e9f6237d554e04da801e4f541df819a446ad374d742eef18a08dd3a0cd0b4
A_sess_01159_c5f3d050,2024-03-05T17:40:12Z,view,prod_0198,A,desktop,192.168.197.0/24,Toronto,CA,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,0d7a4da32b35f9b16e533a7c2ef14708d17d82f3d89ed4b792c54e34b606d540
A_sess_01422_56eaf241,2024-03-05T17:08:00Z,cart,prod_0400,A,mobile,198.18.35.0/24,Seoul,KR,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,d31faa3ae15d0f6a72f1a4f949f156bca993d41cbb2be22eecce03f427f22aec
A_sess_01482_da78a724,2024-03-06T16:42:47Z,view,prod_0341,A,desktop,100.64.109.0/24,London,GB,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,403786648e25fffa17f3d4c12963ba2fb9a526c348c69dacc0f9e4d9d0c3a8bc
A_sess_01110_9e6cb71b,2024-03-08T00:20:29Z,cart,prod_0253,A,tablet,198.18.145.0/24,Sydney,AU,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,156dc1989e348efa4a00bb54a7f409af03580a58c7900444a442905bfd27cf73
A_sess_01336_49aad75d,2024-03-02T12:53:48Z,view,prod_0117,A,desktop,10.0.115.0/24,Sydney,AU,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,b33d93011b916834272b9cda562b52258b229e37c10bf7447083f933ad0cd4c6
A_sess_00315_9cb07af5,2024-03-02T08:46:46Z,cart,prod_0086,A,tablet,10.197.157.0/16,Chicago,US,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,67b8087dd5fceb6e149401d652cc54ec099d104784373471f571f21c84ef983a
A_sess_01652_281e3c6e,2024-03-02T01:37:30Z,view,prod_0039,A,mobile,172.16.202.0/24,Berlin,DE,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,59937a5c24fdda07f764e56fd89919da95c9089221151b2866594676ad7260ff
A_sess_01546_724068e9,2024-03-02T14:15:03Z,view,prod_0427,A,mobile,198.18.223.0/24,Houston,US,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,1afe353e3067b0b1725fd81b64a53930f8771bea47ab1c245afd87fa368fd195
A_sess_01255_ceeb7e71,2024-03-07T22:18:30Z,view,prod_0062,A,desktop,100.64.87.0/24,Sydney,AU,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,c74764ea8f8bf9af5983e5fedde29aa04fdeeb07e1fcf67be4b85156d8ac0b50
A_sess_01454_b235bdd4,2024-03-08T06:15:15Z,purchase,prod_0417,A,desktop,100.64.223.0/24,New York,US,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,97e261e36e840887de1e51139bd1e0a9cf28eda4b253aad1aa0a2a0e16a767c2
A_sess_00810_a7665388,2024-03-05T05:55:09Z,cart,prod_0154,A,desktop,172.16.3.0/24,Mumbai,IN,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,7fb933c7ec170dc21f862f30fd8639ead0b7fe0919e401d8fb2c62c00b253c6d
A_sess_01024_d1035420,2024-03-05T00:15:45Z,view,prod_0403,A,tablet,172.16.3.0/24,Mumbai,IN,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,b5d069136f6630a0529da7270434c108ddd7941b9483fb69a354c61fec20d109
A_sess_01613_e6b4e82e,2024-03-02T07:21:39Z,view,prod_0112,A,desktop,172.16.219.0/24,Bangalore,IN,Mozilla/5.0 (iPad; CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15,b2c03965227c2fc8911671bd0c9d6c3d30c831b7ccca4ae70776645427eccf54
A_sess_01313_006de82a,2024-03-05T09:03:38Z,view,prod_0205,A,desktop,192.168.85.0/24,London,GB,Mozilla/5.0 (X11; Linux x86_64) Gecko/20100101 Firefox/121.0,0e130ba8bf1ac47688d43e136754552749bf54550c2618f3b01c05236fadac4a
A_sess_00689_9b5fa743,2024-03-07T08:04:20Z,cart,prod_0368,A,tablet,10.70.88.0/24,Seoul,KR,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,
A_sess_00836_c538d442,2024-03-01T10:32:23Z,view,prod_0253,A,mobile,100.64.191.0/24,Amsterdam,NL,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,33035ad0f14a60e72d17d75193e00d898313685254058a9773e8288aecfbbd99
A_sess_00669_138af45b,2024-03-06T23:44:43Z,cart,prod_0413,A,desktop,10.189.78.0/24,Paris,FR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,
A_sess_01047_51cae3f3,2024-03-07T09:50:21Z,purchase,prod_0346,A,desktop,198.18.90.0/24,Berlin,DE,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,fe15efa04d7ca5a0e9ec644c4a300943f5caa3635e3ae02517847a5cef7e635a
