session_id,event_time,event_type,product_id,platform,device_type,ip_range,city,country,user_agent,hashed_email
B_sess_01850_dcf3b772,2024-03-02T19:38:11Z,cart,prod_0430,B,mobile,10.0.217.0/24,Munich,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,720baa3571888d8d83166a3db6de50dce9124225f9bf7ac35b3cf39cfef1eb0d
B_sess_01914_fde8dbcc,2024-03-04T12:03:45Z,purchase,prod_0256,B,desktop,172.16.161.0/24,Osaka,JP,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,32c89c3ccd6da7e11ec5c866dd4038dd1ee63fa52a511a71f3924174feed44e5
B_sess_00612_1ef101f4,2024-03-07T12:20:23Z,cart,prod_0448,B,tablet,10.168.49.0/24,Osaka,JP,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.6099.200,
B_sess_01811_4a860d65,2024-03-04T07:51:47Z,view,prod_0417,B,tablet,100.64.158.0/24,Sydney,AU,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,e7d3b49c5e04dffd998acac146aa4055910cc783b40df564bb4a6dafab51038c
B_sess_01875_2649e489,2024-03-08T07:01:53Z,cart,prod_0374,B,desktop,192.168.49.0/24,Amsterdam,NL,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,8ec91010cbd507c9ee88a61c9e8c78594041eb7436d7ae4b96cd35280a4339d2
B_sess_02365_5f0cf158,2024-03-06T08:31:56Z,cart,prod_0260,B,mobile,198.18.39.0/24,Osaka,JP,Mozilla/5.0 (Linux; Android 14) AppleWebKit/537.36 Chrome/120.0.6099.230,9ee8bc740097fd8ca96dd1524ad4e92f4f23123093f93948527efe6815164214
B_sess_02156_e89c1174,2024-03-05T07:35:23Z,purchase,prod_0267,B,desktop,100.64.244.0/24,Munich,DE,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,7760e95f5734d505fe42538a2fbd540c45415cc6a93192cf9a2065bdad14f7c8
B_sess_00422_6b8dda8f,2024-03-08T00:45:28Z,purchase,prod_0466,B,tablet,10.95.210.0/16,Paris,FR,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Edge/120.0.2210.133,
B_sess_00406_afc4be1d,2024-03-01T21:52:07Z,purchase,prod_0085,B,desktop,10.14.202.0/24,Tokyo,JP,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) AppleWebKit/605.1.15,
B_sess_00328_588e2875,2024-03-03T03:41:50Z,view,prod_0255,B,tablet,10.30.163.0/24,Chicago,US,Mozilla/5.0 (Linux; Android 13; SM-S908B) AppleWebKit/537.36 Chrome/119.0.6045.163,e73c1b6bbd1e3b90938f2a74ca55711b48cb92d85b1e3079458fe90ba9835443
B_sess_02068_db47d0b3,2024-03-04T09:49:05Z,view,prod_0233,B,tablet,172.16.126.0/24,Houston,US,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,de282810e715a6477030ce1972acafe4d80748902e42ac4015b53bd541e3eff9
B_sess_01796_fae665b2,2024-03-04T10:08:35Z,cart,prod_0455,B,tablet,192.168.155.0/24,Munich,DE,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15,a8f1a0cb109c4b4eed527fbaf0c09e7dc259589dbdd4bade9864a096bd560500
